@relation jAudio
@ATTRIBUTE "Spectral Centroid Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Compactness Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation10" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation11" NUMERIC
@ATTRIBUTE "MFCC Overall Standard Deviation12" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation5" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation6" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation7" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation8" NUMERIC
@ATTRIBUTE "LPC Overall Standard Deviation9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Standard Deviation4" NUMERIC
@ATTRIBUTE "Spectral Centroid Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Rolloff Point Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Flux Overall Average0" NUMERIC
@ATTRIBUTE "Compactness Overall Average0" NUMERIC
@ATTRIBUTE "Spectral Variability Overall Average0" NUMERIC
@ATTRIBUTE "Root Mean Square Overall Average0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows Overall Average0" NUMERIC
@ATTRIBUTE "Zero Crossings Overall Average0" NUMERIC
@ATTRIBUTE "Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "Beat Sum Overall Average0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average0" NUMERIC
@ATTRIBUTE "MFCC Overall Average1" NUMERIC
@ATTRIBUTE "MFCC Overall Average2" NUMERIC
@ATTRIBUTE "MFCC Overall Average3" NUMERIC
@ATTRIBUTE "MFCC Overall Average4" NUMERIC
@ATTRIBUTE "MFCC Overall Average5" NUMERIC
@ATTRIBUTE "MFCC Overall Average6" NUMERIC
@ATTRIBUTE "MFCC Overall Average7" NUMERIC
@ATTRIBUTE "MFCC Overall Average8" NUMERIC
@ATTRIBUTE "MFCC Overall Average9" NUMERIC
@ATTRIBUTE "MFCC Overall Average10" NUMERIC
@ATTRIBUTE "MFCC Overall Average11" NUMERIC
@ATTRIBUTE "MFCC Overall Average12" NUMERIC
@ATTRIBUTE "LPC Overall Average0" NUMERIC
@ATTRIBUTE "LPC Overall Average1" NUMERIC
@ATTRIBUTE "LPC Overall Average2" NUMERIC
@ATTRIBUTE "LPC Overall Average3" NUMERIC
@ATTRIBUTE "LPC Overall Average4" NUMERIC
@ATTRIBUTE "LPC Overall Average5" NUMERIC
@ATTRIBUTE "LPC Overall Average6" NUMERIC
@ATTRIBUTE "LPC Overall Average7" NUMERIC
@ATTRIBUTE "LPC Overall Average8" NUMERIC
@ATTRIBUTE "LPC Overall Average9" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average0" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average1" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average2" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average3" NUMERIC
@ATTRIBUTE "Method of Moments Overall Average4" NUMERIC
@ATTRIBUTE classe {dog, cat}
@DATA
8.384E0,6.25E-2,6E-3,2.34E2,2.923E-3,1.101E-1,2.943E-2,1.871E1,0E0,0E0,0E0,3.254E1,6.091E0,5.495E0,3.529E0,4.338E0,3.227E0,2.504E0,3.37E0,4.282E0,4.562E0,3.986E0,3.572E0,4.248E0,4.152E-2,2.208E-1,2.872E-1,1.9E-1,1.665E-1,1.214E-1,1.278E-1,1.335E-1,1.141E-1,0E0,1.674E-1,1.18E1,1.078E3,9.451E4,1.725E7,1.929E1,1.063E-1,2.151E-3,1.59E3,3.567E-3,1.356E-1,4.592E-1,4.206E1,0E0,0E0,0E0,-1.4E2,6.225E0,-5.348E0,-9.803E-1,-2.873E0,-1.895E0,-1.683E0,-3.105E0,1.823E0,2.695E0,3.755E0,4.35E-1,-4.315E0,-9.533E-1,7.434E-1,-1.417E-1,4.955E-3,7.109E-2,5.513E-2,2.712E-2,4.767E-2,1.403E-2,0E0,2.006E-1,3.688E1,1.638E3,1.624E5,2.855E7, cat
1.943E1,1.389E-1,2.791E-3,2.801E2,2.328E-3,8.115E-2,0E0,3.891E1,0E0,0E0,0E0,4.923E1,7.427E0,3.766E0,2.898E0,2.838E0,3.455E0,2.088E0,1.553E0,2.747E0,2.805E0,2.127E0,1.904E0,2.738E0,1.055E-1,3.263E-1,1.789E-1,1.358E-1,2.558E-1,1.254E-1,1.189E-1,1.663E-1,1.38E-1,0E0,2.734E-1,2.128E1,1.228E3,1.203E5,2.12E7,2.139E1,1.462E-1,2.916E-3,1.505E3,3.715E-3,1.389E-1,0E0,5.751E1,0E0,0E0,0E0,-1.255E2,-6.286E-1,-2.088E-1,3.247E0,-1.23E0,1.643E0,6.413E-1,7.294E-1,3.597E0,2.879E-1,-4.998E-1,-1.769E0,7.217E-2,-8.903E-1,3.57E-1,-1.511E-1,-7.334E-3,-2.87E-1,-8.225E-2,-1.172E-1,1.011E-1,-1.042E-1,0E0,3.948E-1,5.583E1,3.433E3,2.522E5,5.02E7, cat
9.62E0,1.098E-1,1.829E-3,4.215E2,1.569E-3,4.797E-2,0E0,2.376E1,0E0,0E0,0E0,4.392E1,9.918E0,5.09E0,1.452E0,2.108E0,1.852E0,1.96E0,2.199E0,2.392E0,1.692E0,1.968E0,1.907E0,1.669E0,6.044E-2,2.546E-1,2.017E-1,8.755E-2,1.936E-1,9.94E-2,1.909E-1,6.563E-2,9.201E-2,0E0,2.736E-1,2.72E1,1.327E3,7.78E4,1.487E7,7.663E0,8.7E-2,1.302E-3,1.504E3,6.725E-3,2.097E-1,0E0,1.925E1,0E0,0E0,0E0,-1.321E2,-2.699E0,-4.6E0,-7.084E-1,-1.369E0,-1.494E0,-6.86E-1,-2.407E0,-1.38E0,-2.605E-1,6.57E-1,1.867E0,3.549E-1,-9.489E-1,2.817E-1,-1.331E-1,-5.214E-3,-1.95E-1,-3.687E-2,-1.706E-1,-4.39E-2,-7.939E-2,0E0,4.139E-1,3.736E1,2.283E3,1.809E5,3.506E7, cat
1.782E1,1.015E-1,1.483E-2,4.416E2,5.224E-3,1.997E-1,0E0,3.852E1,0E0,0E0,0E0,4.737E1,1.043E1,8.425E0,4.101E0,3.731E0,3.008E0,4.202E0,2.963E0,3.201E0,2.623E0,2.422E0,3.33E0,3.018E0,9.172E-2,3.742E-1,2.708E-1,1.071E-1,1.795E-1,1.304E-1,1.35E-1,1.164E-1,8.109E-2,0E0,3.238E-1,2.024E1,1.007E3,8.858E4,1.683E7,1.533E1,8.326E-2,6.808E-3,1.462E3,4.974E-3,1.791E-1,0E0,3.179E1,0E0,0E0,0E0,-1.53E2,4.702E0,-4.172E0,-6.854E-1,-3.077E0,-6.768E-1,-7.892E-2,4.612E-1,1.798E0,6.885E-2,-3.441E0,-3.545E0,-2.26E-2,-9.406E-1,4.711E-1,-6.045E-2,4.986E-2,-6.461E-2,2.602E-2,2.378E-2,-3.748E-3,-2.705E-2,0E0,2.941E-1,2.766E1,1.313E3,1.279E5,2.179E7, cat
2.477E1,2.166E-1,2.015E-3,4.671E2,2.353E-3,8.246E-2,0E0,4.092E1,0E0,0E0,0E0,6.756E1,1.078E1,2.574E0,2.377E0,3.115E0,2.02E0,1.534E0,1.933E0,2.106E0,2.088E0,2.257E0,2.374E0,1.514E0,2.222E-1,2.527E-1,2.15E-1,1.009E-1,2.221E-1,1.223E-1,1.958E-1,9.883E-2,1.227E-1,0E0,3.34E-1,3.471E1,1.338E3,1.412E5,2.233E7,2.158E1,2.114E-1,1.918E-3,1.484E3,4.888E-3,1.651E-1,0E0,4.933E1,0E0,0E0,0E0,-1.414E2,-7.107E0,-1.238E0,-6.543E-1,-2.566E0,-3.096E-1,-9.656E-1,-1.923E0,1.228E-1,8.081E-1,2.066E0,8.747E-1,-1.057E0,-8.223E-1,2.366E-1,-2.622E-1,2.275E-2,-3.01E-1,-1.395E-2,-2.192E-1,4.715E-2,-7.068E-2,0E0,4.631E-1,5.914E1,3.047E3,1.431E5,3.764E7, cat
6.85E1,3.772E-1,2.685E-3,7.341E2,1.692E-3,6.649E-2,4.036E-2,1.314E2,4.247E1,8.23E0,7.815E-4,4.643E2,1.035E1,5.384E0,4.071E0,3.27E0,3.005E0,4.374E0,4.005E0,5.081E0,5.473E0,3.779E0,2.389E0,1.666E0,4.427E-1,3.172E-1,3.571E-1,3.184E-1,2.133E-1,2.17E-1,2.643E-1,2.472E-1,2.132E-1,0E0,1.479E-1,6.804E1,2.668E3,1.981E5,3.011E7,6.804E1,3.814E-1,1.076E-3,8.895E2,1.185E-3,4.733E-2,6.218E-1,1.269E2,7.464E1,6.073E1,1.204E-2,-5.406E2,-9.703E0,-2.919E0,2.074E0,1.274E0,-8.728E-1,-2.157E0,1.625E0,-6.683E-1,-3.136E0,8.445E-1,-5.093E-1,-8.824E-2,-1.182E-1,8.912E-2,1.791E-1,2.602E-1,-5.266E-2,1.328E-1,1.071E-1,1.593E-1,4.35E-2,0E0,1.031E-1,8.108E1,3.168E3,4.437E4,3.39E7, cat
2.204E1,1.382E-1,6.49E-3,1.823E2,2.09E-3,8.242E-2,5.461E-2,3.889E1,2.596E-1,5.311E0,1.729E-3,2.647E1,8.421E0,4.769E0,2.539E0,3.077E0,2.867E0,2.81E0,2.915E0,2.442E0,3.183E0,3.321E0,3.099E0,2.72E0,1.201E-1,4.097E-1,1.956E-1,1.81E-1,1.567E-1,1.706E-1,1.401E-1,1.277E-1,1.057E-1,0E0,1.966E-1,1.467E1,1.463E3,1.163E5,2.279E7,3.04E1,1.718E-1,1.561E-3,1.595E3,1.108E-3,4.469E-2,8.178E-1,7.464E1,4.142E1,3.542E1,3.453E-2,-1.609E2,-3.464E0,-1.361E0,1.869E0,-1.459E-1,1.881E0,2.518E-1,2.038E-1,7.969E-1,-1.225E0,-6.336E-1,3.08E-1,5.176E-1,-8.576E-1,3.971E-1,-2.346E-1,9.469E-2,-1.028E-1,9.633E-2,-1.936E-2,4.717E-2,1.345E-2,0E0,1.07E-1,6.135E1,3.302E3,2.36E5,4.519E7, cat
4.13E1,2.762E-1,1.381E-3,3.18E2,9.688E-4,4.232E-2,6.129E-2,7.283E1,0E0,0E0,0E0,5.926E1,1.521E1,4.916E0,2.827E0,2.746E0,2.847E0,1.78E0,1.969E0,1.811E0,1.813E0,1.707E0,1.589E0,1.359E0,3.699E-1,3.718E-1,2.416E-1,1.987E-1,1.494E-1,1.933E-1,1.442E-1,1.721E-1,1.195E-1,0E0,1.478E-1,3.716E1,1.765E3,1.01E5,1.866E7,8.157E1,5.369E-1,2.823E-4,1.436E3,5.617E-4,2.532E-2,6.998E-1,1.538E2,0E0,0E0,0E0,-2.036E2,-1.048E1,-5.109E0,-2.769E0,-1.054E0,1.247E0,2.737E-1,-4.924E-1,-4.429E-1,-1.287E0,-7.335E-1,-3.115E-1,-3.243E-1,-4.222E-1,3.46E-1,5.717E-2,5.383E-2,3.777E-2,4.534E-2,-1.678E-3,1.245E-1,2.405E-2,0E0,9.119E-2,9.603E1,3.801E3,1.173E5,4.099E7, cat
1.972E1,1.558E-1,3.322E-4,1.416E2,6.714E-4,2.476E-2,1.084E-1,3.768E1,6.455E1,4.015E0,1.322E-3,7.851E0,3.984E0,2.305E0,2.158E0,1.741E0,1.389E0,1.446E0,1.285E0,1.425E0,1.497E0,1.69E0,1.552E0,1.788E0,1.5E-1,2.363E-1,1.993E-1,1.269E-1,1.522E-1,1.062E-1,9.415E-2,6.911E-2,8.051E-2,0E0,6.164E-2,1.241E1,6.308E2,1.004E5,1.278E7,2.614E1,1.69E-1,1.174E-4,1.588E3,6.303E-4,2.638E-2,6.366E-1,7.687E1,1.614E2,1.486E1,9.927E-3,-1.393E2,3.11E0,2.866E0,5.528E-1,1.37E0,-4.149E-2,1.68E-1,-3.092E-1,9.719E-1,-2.067E-1,-3.56E-1,-8.042E-1,6.407E-2,-8.586E-1,1.133E-1,-2.748E-1,1.542E-1,-3.051E-2,6.562E-2,-3.856E-2,2.302E-2,-3.56E-2,0E0,8.555E-2,6.611E1,4.317E3,2.779E5,5.552E7, cat
3.402E1,1.589E-1,2.113E-3,1.412E2,2.147E-3,8.384E-2,4.313E-2,6.414E1,2.31E1,8.82E0,4.375E-3,1.444E1,9.149E0,3.825E0,2.121E0,2.143E0,1.966E0,2.099E0,1.749E0,2.83E0,2.376E0,3.059E0,2.401E0,1.837E0,2.238E-1,3.451E-1,1.701E-1,1.896E-1,1.601E-1,1.202E-1,1.194E-1,1.207E-1,1.453E-1,0E0,1.523E-1,2.256E1,8.44E2,1.416E5,2.243E7,2.627E1,1.31E-1,7.567E-4,1.566E3,1.401E-3,5.442E-2,7.438E-1,6.393E1,5.051E1,5.556E1,1.438E-2,-1.536E2,3.303E-1,3.492E0,1.499E0,2.155E-2,9.034E-1,1.472E0,-2.379E-1,-1.307E0,-4.356E-1,1.187E0,-7.753E-1,-1.158E0,-8.537E-1,3.445E-1,-1.436E-1,9.043E-2,-3.485E-2,1.921E-2,7.229E-3,6.384E-2,-4.691E-2,0E0,1.094E-1,5.461E1,3.187E3,2.88E5,5.355E7, cat
2.23E1,1.805E-1,2.895E-3,2.551E2,1.945E-3,8.406E-2,0E0,4.345E1,0E0,0E0,0E0,3.917E1,6.011E0,3.847E0,2.471E0,2.441E0,2.219E0,2.942E0,1.893E0,1.235E0,1.705E0,3.171E0,2.252E0,1.666E0,2.037E-1,2.898E-1,1.825E-1,1.578E-1,1.2E-1,1.366E-1,1.134E-1,1.386E-1,1.336E-1,0E0,3.062E-1,1.418E1,1.093E3,9.932E4,1.268E7,6.532E1,4.612E-1,1.631E-3,1.496E3,1.664E-3,7.681E-2,0E0,1.428E2,0E0,0E0,0E0,-1.237E2,-6.36E0,-2.126E0,-1.64E0,1.213E-1,9.019E-2,-1.405E0,-1.6E0,-9.148E-1,-1.562E0,5.685E-1,1.009E0,-1.464E-2,-6.044E-1,1.899E-1,-3.271E-2,-3.372E-2,1.565E-2,7.627E-2,4.065E-2,4.631E-2,5.744E-2,0E0,3.12E-1,9.3E1,4.795E3,2.084E5,5.628E7, cat
1.998E1,1.058E-1,6.075E-3,1.782E2,2.382E-3,8.747E-2,0E0,4.186E1,0E0,0E0,0E0,2.355E1,1.55E1,7.096E0,3.809E0,3.731E0,4.479E0,3.814E0,3.998E0,6.279E0,5.355E0,4.903E0,3.695E0,4.63E0,1.421E-1,1.063E-1,2.39E-1,4.183E-1,2.414E-1,1.728E-1,1.86E-1,1.931E-1,1.738E-1,0E0,1.513E-1,1.697E1,4.669E2,2.794E4,5.399E6,4.846E1,2.378E-1,4.503E-3,1.638E3,3.625E-3,1.4E-1,0E0,1.004E2,0E0,0E0,0E0,-1.381E2,-1.025E1,-1.353E1,4.522E0,-9.679E-1,1.89E0,6.196E-1,2.025E0,2.35E-1,1.618E0,-1.229E0,-1.18E0,-1.683E0,-7.91E-1,8.966E-1,-4.304E-1,2.94E-1,1.488E-1,1.39E-1,1.109E-1,4.6E-2,5.179E-3,0E0,2.619E-1,5.125E1,5.007E2,1.003E4,1.809E6, cat
1.499E1,9.151E-2,2.906E-3,2.14E2,2.164E-3,7.449E-2,0E0,3.347E1,0E0,0E0,0E0,3.295E1,8.383E0,4.729E0,2.103E0,3.798E0,2.941E0,2.001E0,1.864E0,2.418E0,3.994E0,2.088E0,2.089E0,3.217E0,7.011E-2,3.382E-1,1.808E-1,9.944E-2,7.342E-2,1.395E-1,1.318E-1,9.408E-2,6.006E-2,0E0,1.798E-1,1.828E1,7.174E2,7.093E4,1.247E7,8.603E0,5.511E-2,1.985E-3,1.543E3,2.82E-3,9.808E-2,0E0,2.242E1,0E0,0E0,0E0,-1.605E2,4.793E-1,2.148E0,1.998E0,-6.922E-2,-1.247E0,-1.076E0,-4.535E-1,9.719E-1,2.055E0,9.525E-1,-1.284E0,-2.081E0,-9.62E-1,2.83E-1,-1.443E-1,-2.038E-2,7.362E-4,-6.502E-2,-6.343E-2,2.925E-4,7.198E-3,0E0,1.587E-1,2.585E1,1.736E3,1.877E5,3.349E7, cat
1.469E1,9.965E-2,4.364E-3,1.404E2,2.034E-3,7.479E-2,0E0,2.967E1,0E0,0E0,0E0,1.181E1,5.992E0,2.747E0,2.574E0,2.352E0,2.024E0,1.804E0,1.36E0,1.595E0,1.544E0,1.174E0,1.259E0,1.087E0,8.533E-2,1.157E-1,3.44E-1,1.396E-1,1.433E-1,8.712E-2,9.654E-2,8.111E-2,8.872E-2,0E0,1.867E-1,1.125E1,3.366E2,3.096E4,4.681E6,1.482E1,1.008E-1,6.476E-3,1.548E3,7.003E-3,2.713E-1,4.3E-1,3.619E1,0E0,0E0,0E0,-9.382E1,1.302E1,-7.897E-1,1.953E0,-4.968E-1,1.225E0,6.72E-2,-8.931E-1,-1.666E0,-6.645E-1,9.999E-2,4.747E-1,4.657E-1,-9.5E-1,7.426E-1,-1.533E-1,3.369E-2,-1.133E-1,1.689E-3,-8.293E-3,-1.175E-2,1.675E-2,0E0,6.28E-1,2.751E1,1.143E3,1.008E5,1.658E7, cat
1.352E1,6.831E-2,1.739E-3,1.686E2,1.46E-3,5.668E-2,5.583E-2,2.167E1,2.364E-1,3.607E0,7.895E-4,1.741E1,4.492E0,4.09E0,3.705E0,2.613E0,2.514E0,2.535E0,2.07E0,1.989E0,1.686E0,1.591E0,1.688E0,2.023E0,5.533E-2,2.393E-1,1.601E-1,1.352E-1,1.266E-1,1.338E-1,1.367E-1,1.009E-1,1.192E-1,0E0,1.308E-1,7.641E0,8.463E2,6.925E4,1.299E7,2.248E1,1.423E-1,5.37E-4,1.621E3,1.216E-3,4.819E-2,6.845E-1,6.059E1,7.499E1,7.654E1,1.431E-2,-1.333E2,1.964E0,-4.224E0,2.116E0,7.495E-1,-1.129E0,-6.533E-1,-1.063E0,-3.496E-1,-4.04E-1,-1.63E-1,-9.758E-1,-1.242E0,-9.182E-1,5.998E-1,-2.068E-1,5.774E-2,-1.019E-1,-2.82E-2,-5.523E-2,-1.266E-3,-6.298E-2,0E0,1.305E-1,4.738E1,2.478E3,2.161E5,3.759E7, cat
1.527E1,6.762E-2,2.05E-3,1.472E2,1.676E-3,6.447E-2,3.502E-2,2.482E1,1.998E-13,8.59E0,1.023E-3,1.374E1,5.132E0,4.134E0,4.459E0,2.908E0,2.715E0,2.484E0,2.137E0,2.001E0,1.746E0,1.791E0,1.876E0,2.196E0,6.581E-2,2.436E-1,1.664E-1,1.468E-1,1.46E-1,1.592E-1,1.462E-1,1.097E-1,1.325E-1,0E0,1.465E-1,7.392E0,8.402E2,7.509E4,1.354E7,2.604E1,1.551E-1,7.236E-4,1.652E3,1.463E-3,5.818E-2,7.105E-1,6.577E1,1.136E2,7.839E1,1.322E-2,-1.298E2,1.133E0,-4.919E0,2.655E0,-5.072E-3,-6.543E-1,-2.302E-1,-1.15E0,-6.371E-1,-8.574E-1,-3.808E-1,-8.273E-1,-7.262E-1,-9.036E-1,6.47E-1,-2.268E-1,5.488E-2,-8.971E-2,8.165E-4,-1.019E-2,-1.255E-2,-8.053E-2,0E0,1.538E-1,4.845E1,2.357E3,2.046E5,3.552E7, cat
1.208E1,7.53E-2,1.197E-3,1.418E2,8.397E-4,3.418E-2,5.796E-2,2.328E1,8.355E1,1.496E0,3.261E-4,1.781E1,5.069E0,2.78E0,1.971E0,2.324E0,1.722E0,1.906E0,1.715E0,1.832E0,1.627E0,1.562E0,1.715E0,1.582E0,6.48E-2,2.097E-1,1.88E-1,1.152E-1,9.338E-2,7.99E-2,7.849E-2,6.773E-2,7.415E-2,0E0,7.564E-2,9.259E0,7.955E2,7.87E4,1.364E7,1.911E1,1.126E-1,2.523E-4,1.528E3,4.529E-4,1.868E-2,7.029E-1,5.194E1,1.439E2,1.22E1,1.537E-2,-1.575E2,5.207E0,-9.169E-2,1.913E-1,-1.253E0,1.992E-2,-5.01E-1,-9.074E-2,-4.602E-1,-1.479E0,-7.375E-1,-6.256E-1,-1.015E0,-9.347E-1,4.711E-1,-1.852E-1,1.249E-1,-1.127E-2,7.648E-2,-1.019E-2,7.668E-2,1.111E-2,0E0,4.919E-2,4.736E1,2.817E3,2.527E5,4.368E7, cat
1.709E1,9.129E-2,5.818E-4,1.903E2,8.411E-4,3.499E-2,4.672E-2,3.371E1,2.508E-1,1.132E0,2.384E-3,2.432E1,7.129E0,3.661E0,1.749E0,2.313E0,2.428E0,1.693E0,1.56E0,1.494E0,1.37E0,1.529E0,1.402E0,1.939E0,9.188E-2,2.747E-1,2.557E-1,1.523E-1,1.269E-1,9.932E-2,9.093E-2,1.006E-1,7.399E-2,0E0,1.232E-1,1.294E1,8.982E2,1.215E5,2.226E7,1.372E1,7.796E-2,1.858E-4,1.567E3,6.579E-4,2.636E-2,7.83E-1,3.817E1,4.735E1,1.768E1,1.823E-2,-1.575E2,6.597E0,-1.729E0,1.973E0,8.558E-1,2.201E-1,-8.392E-1,-7.094E-1,-5.053E-1,-6.411E-1,-6.948E-1,-7.328E-1,-9.018E-1,-9.485E-1,3.935E-1,2.083E-2,3.032E-2,-5.799E-2,-2.714E-2,-3.487E-2,1.972E-2,4.19E-4,0E0,7.744E-2,4.033E1,2.8E3,3.149E5,5.724E7, cat
1.21E1,9.036E-2,4.745E-4,1.475E2,6.882E-4,2.682E-2,3.612E-2,2.332E1,1.477E1,1.791E0,3.872E-4,1.865E1,4.095E0,5.998E0,2.73E0,2.491E0,1.923E0,1.849E0,1.712E0,2.208E0,2.207E0,1.813E0,2.474E0,1.461E0,5.735E-2,4.308E-1,2.309E-1,1.892E-1,1.732E-1,1.222E-1,1.008E-1,8.217E-2,7.697E-2,0E0,7.118E-2,1.282E1,1.378E3,1.318E5,2.371E7,1.279E1,7.556E-2,1.994E-4,1.547E3,8.166E-4,3.2E-2,6.609E-1,3.793E1,2.06E2,2.972E1,9.784E-3,-1.543E2,8.75E0,2.824E0,6.884E-1,-2.624E-1,-1.636E-1,1.781E-1,2.848E-1,-5.562E-1,-2.165E0,-1.605E0,-1.071E0,1.949E-1,-9.576E-1,1.825E-1,-3.901E-2,9.166E-2,3.711E-2,8.671E-2,1.835E-2,5.882E-2,2.278E-2,0E0,7.087E-2,4.349E1,3.651E3,3.839E5,7.045E7, cat
1.951E1,1.266E-1,3.755E-3,4.175E2,2.685E-3,1.041E-1,0E0,3.883E1,0E0,0E0,0E0,1.93E2,1.346E1,5.12E0,3.702E0,2.316E0,1.989E0,2.898E0,1.955E0,4.024E0,2.688E0,4.211E0,2.47E0,3.079E0,1.864E-1,2.479E-1,2.608E-1,1.72E-1,2.509E-1,1.217E-1,1.494E-1,1.762E-1,1.804E-1,0E0,2.813E-1,2.227E1,1.153E3,8.933E4,1.676E7,4.696E1,2.815E-1,2.939E-3,1.458E3,3.651E-3,1.466E-1,0E0,9.159E1,0E0,0E0,0E0,-1.693E2,-1.708E1,-9.54E0,-5.054E0,-9.373E-1,2.214E0,2.952E0,6.342E-1,-5.765E0,-3.614E0,1.699E0,1.995E0,-1.717E0,-7.311E-1,6.63E-1,-2.73E-1,1.401E-1,1.362E-1,4.834E-2,1.723E-1,5.686E-2,4.031E-3,0E0,3.976E-1,7.019E1,2.444E3,1.651E5,3.119E7, cat
1.536E1,1.059E-1,3.366E-3,4.221E2,2.307E-3,9.202E-2,0E0,3.702E1,0E0,0E0,0E0,5.471E1,1.329E1,3.87E0,3.065E0,2.443E0,2.769E0,3.071E0,2.689E0,4.104E0,3.566E0,2.847E0,3.331E0,2.249E0,1.015E-1,1.75E-1,3.067E-1,2.12E-1,2.009E-1,2.115E-1,1.911E-1,1.304E-1,1.178E-1,0E0,2.722E-1,1.769E1,9.403E2,1.015E5,1.871E7,4.634E1,2.855E-1,2.717E-3,1.559E3,3.582E-3,1.459E-1,0E0,9.77E1,0E0,0E0,0E0,-1.327E2,-1.313E1,-7.245E0,-2.719E0,4.66E-2,2.861E0,4.659E0,2.396E0,-4.354E0,-4.284E0,2.035E0,2.993E0,-6.867E-1,-7.877E-1,6.507E-1,-3.857E-2,-3.725E-3,2.16E-1,9.975E-2,-5.94E-2,1.735E-1,-5.829E-2,0E0,4.264E-1,7.257E1,3.034E3,2.423E5,4.5E7, cat
1.102E1,8.554E-2,9.207E-4,1.934E2,1.257E-3,4.576E-2,3.875E-2,2.1E1,2.111E1,1.239E1,7.353E-4,1.594E1,4.368E0,3.261E0,2.563E0,2.127E0,2.209E0,2.268E0,2.225E0,2.349E0,2.54E0,2.765E0,3.085E0,2.686E0,8.179E-2,3.139E-1,1.609E-1,1.483E-1,2.024E-1,1.656E-1,1.226E-1,1.675E-1,1.371E-1,0E0,7.455E-2,1.012E1,1.004E3,6.144E4,1.23E7,4.231E1,2.373E-1,3.114E-4,1.56E3,1.049E-3,4.179E-2,6.504E-1,9.644E1,8.103E1,3.369E1,1.017E-2,-1.396E2,-3.36E0,-2.815E0,3.142E0,2.057E-1,-6.195E-1,3.713E-1,1.078E0,1.073E0,-6.55E-1,-2.082E0,-1.103E0,-9.657E-2,-8.139E-1,5.433E-1,2.515E-2,8.815E-2,-5.509E-2,8.832E-2,1.218E-2,-3.582E-2,8.339E-2,0E0,1.004E-1,6.911E1,3.433E3,2.574E5,4.779E7, cat
